State,City,Alias,City_ID,Lat,Lon
Greece,Kalymnos,Kalymnos,261507,36.950001,26.98333
Greece,Leonidio,Leonidio,258500,37.16679,22.857731
Italy,Rovereto,Arco,6539916,45.889599,11.03868
Italy,San Vito lo Capo,San Vito lo Capo,2523238,38.172352,12.73493
Italy,Bolsano,Dolomites,3181913,46.492722,11.33358
Italy,Finale Ligure,Finale Ligure,3176982,44.169521,8.3436
Malta,Victoria,Gozo,2562619,36.044441,14.23972
Denmark,Bornholm,Bornholm,2623665,55.166672,15
Czech Republic,Usti nad Labem,Labske Udoli,3063548,50.660702,14.03227
Slovenia,Koper,Osp,3197753,45.54694,13.72944
Turkey,Antalya,Geyikbeyiri,323776,36.962923,30.486353
Jordan,Eilat,Wadi Rum,295277,29.55805,34.948212
Israel,Haifa,Haifa,294801,32.815559,34.98917
Lebanon,Tripoli,Tannourine,266826,34.436668,35.84972
Iran,Hamadan,Hamadan,132144,34.799221,48.514561
South Africa,Cape Town,Cape Town Vicinity,3369157,-33.925838,18.42322
South Africa,Paarl,Rocklands,3363094,-32.134558,19.003725
South Africa,Nelspruit,Waterval Boven,971534,-25.653604,30.329857
Mali,Timbuktu,Main de Fatima,2449067,16.773479,-3.00742
Morocco,Azilal,Taghia Gorge,6545434,31.78274,-6.068285
India,Hampi,Hampi,1270448,15.33333,76.466667
Thailand,Krabi,Tonsai,1152633,8.07257,98.910522
Thailand,Chiang Mai,Chiang Mai,1153671,18.79038,98.98468
Thailand,Ko Tao,Ko Tao,6698659,10.09808,99.838089
Laos,Thakek,Thakek,1653316,16.565981,104.7509
Vietnam,Ha Long,Ha Long Bay,1580410,20.951111,107.080002
China,Yangshuo,Yangshuo,1787323,24.780809,110.48967
China,Baoshan,Liming,1281673,24.347322,99.675039
China,Hong Kong,Hong Kong Vicinity,1819729,22.285521,114.157692
South Korea,Seoul,Seoul Vicinity,1835848,37.56826,126.977829
Japan,Kofu,Ogawayama,1859100,35.663891,138.568329
Japan,Hachioji,Mitake,1863440,35.65583,139.323883
Japan,Nakatsugawa,Ena,1855753,35.48333,137.5
Australia,Stawell,Grampians,2148431,-37.049999,142.766663
Australia,Horsham,Arapiles,7839554,-36.828571,142.114487
Australia,Mount Victoria,Blue Mountains,2156501,-33.583328,150.25
Australia,Koonya,Tasmania,2161105,-43.049999,147.850006
New Zealand,Lake Coleridge,Castle Hill,2188540,-43.202469,171.737987
New Zealand,Christchurch,Christchurch Vicinity,2192362,-43.533329,172.633331
Colombia,Aguachica,La Mojarra,3690465,8.30844,-73.6166
Colombia,Suesca,Suesca,3667717,5.10289,-73.798447
Ecuador,Cuenca,Cojitambo,3658666,-2.88333,-78.98333
Brazil,Belo Horizonte,Serra do Cipo,6321162,-19.356724,-43.629523
Brazil,Rio de Janeiro,Rio de Janeiro Vicinity,3451190,-22.902781,-43.2075
Brazil,Ubatuba,Ubatuba,6322637,-23.42621,-45.036331
Peru,Huaraz,Huaraz,3696378,-9.53333,-77.533333
Peru,Cusco,Pitumarca,3941584,-14.004103,-71.421853
Chile,Puerto Montt,Cochamo,3874960,-41.469849,-72.94474
Chile,Linares,Valle de los Condores,3883167,-35.849998,-71.599998
Chile,Santiago,Santiago Vicinity,3871336,-33.45694,-70.64827
Chile,Puerto Natales,Torres Del Paine,3874958,-51.723629,-72.48745
Argentina,San Carlos de Bariloche,Bariloche,3837856,-41.150002,-71.300003
Argentina,El Calafate,El Chalten,3858677,-50.340752,-72.276817
Argentina,Mendoza,Los Arenales,3844421,-32.890839,-68.827171
